NOMBRE_BARRIO,CANTIDAD
EL MIRADOR DE LA ESTANCIA,572
EL MIRADOR II,197
EL MOCHUELO,1946
EL MOCHUELO ALTO,14
EL MOCHUELO II,114
EL MOCHUELO II NORTE,77
EL MOCHUELO II URBANO,172
EL MOCHUELO III,332
EL MOCHUELO III URBANO,3
EL MOCHUELO IV,76
EL MOCHUELO ORIENTAL,56
EL MOCHUELO URBANO,277
EL MUELLE,2490
EL NEVADO,235
EL NEVADO II,18
EL NOGAL,5865
EL NUEVO PORTAL,2405
EL NUEVO PORTAL II,771
EL NUEVO PORTAL II RURAL,63
EL PANTANO,1
EL PARAISO,1708
EL PARAISO BOSA,541
EL PEDREGAL,267
EL PEDREGAL II,29
EL PENON DEL CORTIJO,2022
EL PINAR,2452
EL PINO,8967
EL PLAN,17472
EL PLAYON,1595
EL POA,4425
EL PORTAL DEL BRASIL,1625
EL PORTAL DEL DIVINO,944
EL PORTAL URBANO,1
EL PORVENIR DE LOS SOCHES,144
EL PORVENIR II SECTOR,1
EL PROGRESO,1829
EL PROGRESO USME,1872
EL REAL,1684
EL RECUERDO,2911
EL REDIL,2590
EL REFUGIO,5257
EL REFUGIO I,677
EL REFUGIO II,1
EL REMANSO,194
EL REMANSO I,1984
EL RETAZO,2179
EL RETIRO,2740
EL RINCON,1785
EL RINCON NORTE,1890
EL ROCIO,2039
EL ROCIO NORTE,465
EL ROSARIO,479
EL RUBI,1211
EL SALITRE,1356
EL SATELITE,1034
EL TABACO,40
EL TESORO,949
EL TINTAL,3
EL TINTAL A.S.D.,1
EL TINTAL CENTRAL,16095
EL TINTAL II,17
EL TINTAL III,59
EL TINTAL IV,25
EL TOBERIN,5042
EL TOLDO,53
EL TRIANGULO,410
EL TUNO,323
EL UVAL,56
EL UVAL RURAL,520
EL VERGEL,1505
EL VERGEL ORIENTAL,867
EL VERVENAL,5245
EL VIRREY,2039
EMAUS,3036
ENGATIVA EL DORADO,5
ENGATIVA ZONA URBANA,2763
ENTRERIOS,894
ESCOCIA,4766
ESCUELA DE CABALLERIA I,3
ESCUELA DE CABALLERIA II,1
ESCUELA DE CARABINEROS,149
ESCUELA DE INFANTERIA,93
ESCUELA GENERAL SANTANDER,4
ESCUELA MILITAR,6
ESPARTILLAL,2736
ESPINO,737
ESPINO I,1962
ESTACION CENTRAL,829
ESTORIL,4498
ESTRELLA,639
ESTRELLA DEL NORTE,4907
ESTRELLA DEL SUR,1779
FATIMA,2069
FERROCAJA FONTIBON,12256
FISCALA ALTA,127
FLORENCIA,5059
FLORIDA,497
FLORIDA BLANCA,2934
FRANCO,427
GALAN,12886
GALAN RURAL,220
GALERIAS,2362
GALICIA,3678
GARCES NAVAS,2122
GARCES NAVAS ORIENTAL,3247
GARCES NAVAS SUR,1315
GIBRALTAR SUR,1310
GILMAR,10568
GINEBRA,2233
GINEBRA II,1210
GIRARDOT,797
GORGONZOLA,274
GRAN AMERICA,3003
GRAN BRITALIA,2061
GRAN BRITALIA I,2410
GRAN COLOMBIANO,2927
GRAN GRANADA,1734
GRAN YOMASA,1912
GRANADA,4714
GRANADA NORTE,3977
GRANADA SUR,2379
GRANJAS DE SANTA SOFIA,912
GRANJAS DE TECHO,245
